t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
5.52608,9.22180830347075,3.779637077239687,1.0762641291251562,0.9440385435213521,0.0760686225027451,-0.2649119812374298,0.18118058907636478,-2.3123729517607954,-4.518475158726613,0.018518221634142684,-0.36814157326880204,-0.14435876528024785,-0.01724238296702371,-5.636497906971358,-2.72598003161249,0.1534188163472815,-0.008087183146391341,-0.0007136425104583545,0.0010403323469702166,2.9399955254534107,2.9399989976749645,2.9399995083324235,2.9399606648110725,0.006354461125167928,6.976194928624134e-05,0.02013056035398563,0.011603949074058201,0.0012615844549922854,0.037207996154571654,0.9864833871725129,0.0002384902154243398,0.02437555096908602,0.9947713537342919,3.5193704903253396e-05,0.021263071196795852,0.9964686355858674,6.418450378846381e-05,0.01999698154165787
5.57871,9.09233979064748,3.5380150688548064,1.07746006743511,0.9438002428105111,0.06772232061363401,-0.2702058767177486,0.1778863226706084,-2.609017972299937,-4.66194161889629,0.026592548756688247,-0.36856719617333605,-0.14439632379630987,-0.017187630988840092,-5.7920923540796,-2.5411524055606467,0.11293562809266976,-0.005602547593618562,0.0016133150894586188,0.0005834340961267673,2.939996005036758,2.9399989777514923,2.9399994999522447,2.939976690478242,0.006282014664569567,7.24464605983602e-05,0.02014067068794961,0.010535722668701118,0.001068226405357084,0.03622900112315509,0.9862241761450871,0.0002592110274258646,0.025077770040005314,0.9947351125872105,3.6241147081565305e-05,0.0213386572841507,0.9964020316714295,6.660391443785538e-05,0.01999660373585306
5.63134,8.947042981004836,3.289098146799075,1.0790258515211348,0.9434599762958465,0.05935929915949764,-0.27547158076685796,0.17457126214091523,-2.9138518219169915,-4.795680727822115,0.032536273436105774,-0.3688620544121593,-0.1443114161292181,-0.01715692525235526,-5.945067958539426,-2.354893398268163,0.06828321517478454,-0.004292545953839555,0.0028111802973003856,0.0003490781551502347,2.939996347668567,2.939998950685499,2.9399994924115243,2.9399850207373177,0.006206531176510944,7.548348805862323e-05,0.020152558716315837,0.00962688691078693,0.0009088357579141883,0.03501444553413875,0.9859399479025044,0.00028422824258268216,0.025947531800539266,0.9946977022767416,3.741031046883889e-05,0.021425501122107914,0.9963328032736902,6.922839773928599e-05,0.019996141444581877
5.68397,8.785490496599488,3.033400264770218,1.0808435661155567,0.9430181731120933,0.05098264171183884,-0.2807056504393659,0.17123610565628453,-3.2267366727188147,-4.919617152890728,0.036129972236729764,-0.36908796816279993,-0.1441634656374774,-0.017138553508372845,-6.095305829750553,-2.1673140394744896,0.019499770086296542,-0.0035414738848070734,0.003484638060205158,0.00021849025742512145,2.939996583863863,2.939998914950947,2.939999486158914,2.939989726403077,0.006127608456190393,7.892272032055158e-05,0.0201665968039751,0.008850088655202901,0.0007767982555840275,0.03356912025242708,0.9856251751493117,0.00031477275319283514,0.027015973825549374,0.9946589866959843,3.8715580757276096e-05,0.021525509131337488,0.9962607301253817,7.207314830851144e-05,0.019995570224381295
5.7366,8.607262385991005,2.7714391835994387,1.0827838025877985,0.9424750909893965,0.04259445957436316,-0.28590598429245645,0.16788136784152002,-3.5475284396814795,-5.033681404907836,0.03715623176759973,-0.36927435350537197,-0.1439800715253883,-0.01712705451591845,-6.24271105366964,-1.978513105323442,-0.03338357163484966,-0.003080450907122795,0.0038962580532346442,0.00014016595544952897,2.939996731920729,2.9399988687105854,2.939999481639718,2.9399925792073764,0.006044784417924763,8.282403826562979e-05,0.020183259196458414,0.008183195195165199,0.000666893460037703,0.03193578284801459,0.9852726063848519,0.0003525687644597609,0.028304805470587512,0.9946188127501813,4.0173945802987507e-05,0.02164101428209362,0.9961855751232231,7.515500215858075e-05,0.01999485586927052
5.78922,8.411946416305975,2.50373618265609,1.0847057537616587,0.9418309133825147,0.034196385313796374,-0.2910711239860741,0.16450747476777378,-3.8760780425200294,-5.137809193199875,0.03539927727977112,-0.36943647552469944,-0.14377501413526703,-0.017119677677778975,-6.387201350672944,-1.7885833316887794,-0.09033800945521865,-0.0027825835009268178,0.004169803848454489,8.992517939740941e-05,2.9399968010442104,2.9399988095461578,2.9399994792573585,2.9399944132993117,0.005957524442492019,8.725997543274343e-05,0.02020315484434026,0.007608213467538337,0.0005749817276268625,0.030200619812378784,0.9848725135382402,0.00040009284661165616,0.029811030119015588,0.9945770071978729,4.180555230835994e-05,0.021774884852664766,0.9961070821866733,7.849293654984468e-05,0.019993949280774317
5.84185,8.199138316842843,2.2308157954994954,1.0864572963869557,0.9410857931721412,0.025789794239783954,-0.296199943334308,0.16111480570021786,-4.21223207062932,-5.231941107718739,0.030644849776628843,-0.3695829209866526,-0.14355556021748253,-0.017114944977238745,-6.528701818184625,-1.5976142428458586,-0.15133498503444787,-0.002583718438996236,0.004368886526221274,5.5472791231428114e-05,2.9399967924773356,2.939998734041243,2.939999479330726,2.9399956516919166,0.005865205548860464,9.231889363155498e-05,0.020227072377862036,0.007110448333251101,0.0004977651342872359,0.028479954411379835,0.9844115055518945,0.00046100798634573077,0.03148997720990866,0.9945333727866571,4.363441121578273e-05,0.021930663765879103,0.9960249733987455,8.210878792774453e-05,0.019992777863670763
5.89448,7.968441995892174,1.9532055578833465,1.0878750703181757,0.9402398740339027,0.017375911463189782,-0.3012914977807494,0.15770371266073388,-4.555833171332994,-5.316022450017558,0.022680193267431877,-0.36971890031673543,-0.1433256287148555,-0.01711202548226761,-6.667142286312681,-1.4056935153172816,-0.21634517195548245,-0.0024498556141946096,0.004529642941963143,3.001282602361131e-05,2.93999669880116,2.9399986370771685,2.9399994820536897,2.9399965233415966,0.005767096439629358,9.81091092311053e-05,0.020256041960881748,0.00667784399171033,0.0004326043415407708,0.02688760951757652,0.9838705826826016,0.0005409228692928467,0.03324839902520969,0.9944876834879408,4.568929871627973e-05,0.022112746689791553,0.9959389451375615,8.602826118394324e-05,0.01999123046753568
5.94711,7.719469741198736,1.6714357625543943,1.0887845585428158,0.9392933020747537,0.008955866729638889,-0.3063449448358499,0.1542745298049482,-4.906720298961383,-5.390003136004736,0.011294095190663022,-0.3698478345381235,-0.14308723671228032,-0.017110445927810365,-6.802455869876176,-1.2129076423804324,-0.2853379336973015,-0.0023629956447672514,0.004675784945551164,9.36377717304599e-06,2.939996500749784,2.9399985105436883,2.939999487464123,2.9399971593017944,0.005662332149383264,0.00010476429024609458,0.02029142010802797,0.006300466008203208,0.0003773779835071227,0.02550140188753436,0.9832217929692982,0.0006487897133033412,0.03495915248130623,0.9944396785706991,4.800491724157653e-05,0.022326608171355948,0.9958486628136664,9.028232389522763e-05,0.0199891296711494
5.99974,7.451842409513546,1.3860392181389067,1.089000170141848,0.9382462332950436,0.000530722993226251,-0.3113594973277656,0.15082757741520203,-5.264728887723603,-5.453837633670567,-0.003723044636097565,-0.36997219737887055,-0.14284115335624925,-0.017109953118637423,-6.934578083197036,-1.0193422130533845,-0.3582809830142283,-0.0023150964162294077,0.00482697431788286,-9.536809077502305e-06,2.939996159350804,2.939998340772491,2.9399994954288644,2.939997638258686,0.005549881590978752,0.00011245055840451223,0.02033500364263942,0.0059700918931482145,0.0003303741150549932,0.024350517035549545,0.9824221524048804,0.0007996405644178008,0.03649440033778383,0.994389055164915,5.062340578411509e-05,0.02257908478034769,0.995753753704075,9.490910959131823e-05,0.019986177578274287
6.05237,7.165189608363614,1.097551010851418,1.0883253273705413,0.9370988398165326,-0.007898510229593174,-0.31633439113100825,0.14736316223122534,-5.629690977991744,-5.507484915496688,-0.022579127139665454,-0.3700940393160587,-0.1425871130072057,-0.01711045503436087,-7.06344618742027,-0.825081914023674,-0.43514010359027355,-0.002306613919250623,0.005005920793538024,-2.9692666615697456e-05,2.939995597116517,2.9399981028999207,2.939999505647858,2.939998009415119,0.005428505713447676,0.0001213758775310765,0.020389171660557665,0.005679886197544967,0.0002902056956032481,0.023425599977848342,0.9814017895047117,0.0010203629001687847,0.03775919629182731,0.9943354588398053,5.359632510982793e-05,0.0228787203411263,0.9956537972016757,9.99565023993596e-05,0.019981841587120356
6.105,6.859149872109378,0.8065082686442314,1.0865525576922386,0.9358513172311544,-0.01633087509944859,-0.32126885605828404,0.14388157396460646,-6.001435308234969,-5.5509084109670415,-0.04548025246560393,-0.3702154348252464,-0.14232365482783163,-0.017112017739047972,-7.188998522142935,-0.6302102180082017,-0.5158788252208659,-0.002350012524044153,0.0052497688302294,-5.5448751925118654e-05,2.939994648452415,2.9399977467830705,2.9399995176761307,2.9399983046030402,0.005296703243807447,0.00013180246964022887,0.020457008945690226,0.005424141836547172,0.00025574436099779434,0.022697244847568136,0.980038680774764,0.001363108729947726,0.038709493168458405,0.9942784715430725,5.6987296732778724e-05,0.023236166190051057,0.9955483115474794,0.00010548565419628448,0.019975089845359447
6.15763,6.5333708340638355,0.5134499281983567,1.0834635915673057,0.9345038966432178,-0.024765477887462455,-0.32616207788689505,0.1403830753918161,-6.379787371777709,-5.584075942677432,-0.07263060135761315,-0.37033911437325084,-0.14204736309346533,-0.017114935968846896,-7.31117343949397,-0.4348084794319367,-0.6004578968624981,-0.0024860085941504624,0.005641085113261082,-9.606937257997918e-05,2.9399929024299003,2.9399971547551456,2.9399995309575933,2.9399985449910155,0.005152640257682979,0.000144062986124468,0.02054208426584399,0.005198073305548859,0.00022606853099831273,0.022131269315300302,0.9780981142969044,0.0019405664778595077,0.03935206008368384,0.9942175959888608,6.087555421171723e-05,0.02366459999856539,0.9954367357340892,0.00011157581339016338,0.019963698186182984
6.21026,6.187509396969413,0.21891650632413243,1.0788294670963698,0.9330568705918708,-0.033201531032353064,-0.3310131259553951,0.1368678766838521,-6.764569417459207,-5.606959614851274,-0.10423228880388345,-0.370469951301188,-0.14175047665140408,-0.01711999203406195,-7.429906599498778,-0.23895328844717614,-0.6888342219344624,-0.002860135435640718,0.00643651287380968,-0.00018097710372494413,2.9399890194548237,2.939995972586523,2.939999544861001,2.9399987449508282,0.0049940613953865665,0.00015857886229641232,0.020644937700457715,0.004997649488093753,0.00020042381745510665,0.021700631933302125,0.9750619439978249,0.003036170299079472,0.0397326631702616,0.9941522352023523,6.536078650855918e-05,0.02418006394970865,0.9953184046895414,0.0001183310445478572,0.0199420995976535
6.26289,5.821231906679753,-0.07655011981045623,1.0724106434163567,0.9315106684155553,-0.041638494415581706,-0.3358207523515779,0.13333605418305827,-7.15560030794995,-5.619535562599189,-0.14048516164910896,-0.3706204782682966,-0.1414117273916394,-0.017129516734955604,-7.545117826329453,-0.04270447404223205,-0.7809590750855149,-0.004412409348451485,0.009114003851912487,-0.0004951133738652035,2.9399749466291083,2.9399924248152245,2.9399995587050123,2.9399989143736076,0.004818354654104931,0.00017570674128163525,0.020619641875034265,0.004819416376520188,0.000178233111573564,0.021523189170035147,0.9695126952584923,0.005549248739332618,0.039919591421861,0.9940816653615208,7.056984083155095e-05,0.024801502377476803,0.9951925150116229,0.00012588967791842491,0.01989281479256269
